image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18365F84A50>,describe the appendix,"enlarged, fluid-filled"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F84B90>,are there 2 kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F84CD0>,are there normal number of kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18365F84E10>,where is the mass?,pancreatic body
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F84F50>,where is the abnormality?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F85090>,where is the hypodensity located?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x18365F851D0>,which hemisphere is the ischemia located?,right hemisphere
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x18365F85310>,where is the abnormality?,right pca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18365F85450>,is the mass homogeneous?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x18365F85590>,where is the abnormality in this image?,basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x18365F856D0>,in what plane is this image oriented?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365F85810>,where is the catheter tip located?,right superior cavoatrial junction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365F85950>,where does the catheter tip extend into?,right superior cavoatrial junction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x18365F85A90>,does the mass affect neighboring structure?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x18365F85BD0>,is there mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x848 at 0x18365F85D10>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=513x513 at 0x18365F85E50>,is the small bowel filled with contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=513x513 at 0x18365F85F90>,is the cecum dilated,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x18365F860D0>,what does the abnormality suggest?,ischemia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x18365F86210>,what causes the hyperintensity?,ischemia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x18365F86350>,is there fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x18365F86490>,is there a skull fracture pictured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x18365F865D0>,is the heart abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x18365F86710>,does the heart appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x18365F86850>,where is the mass?,suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x18365F86990>,where is the mass located?,suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F86AD0>,which plane is the image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365F86C10>,where is this plane relative to the eyes?,above
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365F86D50>,how was this x-ray taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x18365F86E90>,which ribs are located near the abnormality seen in this image?,4th and 5th
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x18365F86FD0>,what level is the abnormality located at?,t5
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x18365F87110>,do the lung markings extend to the periphery?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x18365F87250>,was the arterial contrast phase selected?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x18365F87390>,is a pneumothorax present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365F874D0>,does the width of the heart exceed more than half of the thorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365F87610>,how wide is the cardiac shadow?,less than half the thorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x18365F87750>,is the diaphragm obscured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x18365F87890>,is the diaphragm clearly visualized on both sides?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365F879D0>,are nodular calcifications present in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365F87B10>,what lesions are present in the lungs?,none
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F87C50>,how big is the liver lesion?,5 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F87D90>,what is the size of the mass lesion?,5 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365F87ED0>,what is the modality by which the image was taken?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x18365FB8050>,does this plane of section include the gastric cardia?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x18365FB8190>,are the calcifications superior or inferior to the diaphragm?,superior
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x18365FB82D0>,where in the image are the calcifications located?,high on the image
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FB8410>,where is the aortic arch?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FB8550>,which side of the image is the aortic arch visualized?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FB8690>,where is the lung lesion located?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FB87D0>,which lobe of the lung is the lesion located in?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365FB8910>,do bones appear lighter on this image's modality?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x18365FB8A50>,are the bowel loops on the right or left side of the patient?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x18365FB8B90>,where in this image are the bowel loops?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x18365FB8CD0>,is there evidence of periappendiceal fluid and fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x18365FB8E10>,was this taken with good x ray penetration,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x18365FB8F50>,what indicates that appendicitis is present?,periappendiceal fluid and fat stranding
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x18365FB9090>,is the appendix visualized with contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x18365FB91D0>,is there contrast in the appendix?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FB9310>,are any organs besides the intestines present in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FB9450>,"besides the intestines, what other organs are present?",kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x18365FB9590>,is a cystic cavity present in the left kidney on this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x18365FB96D0>,is there a cyst in the left kidney?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x18365FB9810>,is this in the lumbar vertebral level?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FB9950>,is the pathologic part of this image the small bowel or colon?,small bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FB9A90>,where is the intussesception located?,small bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x18365FB9BD0>,are the common ileac arteries and veins patent in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x18365FB9D10>,how many lesions are present in the image?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x18365FB9E50>,is there more that one lesion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x18365FB9F90>,is the liver normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x18365FBA0D0>,is a ring enhancing lesion present in the right lobe of the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18365FBA210>,is the lesion on the patient's right or left side?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18365FBA350>,where on the image is the lesion?,left temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x18365FBA490>,what are the two major organs present in this image?,heart 	lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBA5D0>,is the liver abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBA710>,are there any abnormal hypodense lesions in the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBA850>,is the largest cyst in the left or right kidney?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x18365FBA990>,are the common iliac vasculature open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBAAD0>,where is the largest cystic lesion in the image?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x18365FBAC10>,was oral or iv contrast used?,both
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBAD50>,are the lesions in the image more or less dense than surrounding tissue?,more dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBAE90>,"what is denser, the cystic lesions or the kidney parenchyma?",cystic lesions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FBAFD0>,is the primary abnormality more or less dense than surrounding matter?,less dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FBB110>,"what is denser, the mass or the surrounding brain tissue?",surrounding tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x18365FBB250>,is the lesion in this image more or less dense than the surrounding tissue?,less dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x18365FBB390>,"what is denser, the lesion or the surrounding tissue?",the surrounding tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FBB4D0>,was contrast applied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x18365FBB610>,is this an ap image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365FBB750>,what type of imaging does this not represent?,ultrasound
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x18365FBB890>,is the spleen normal size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x18365FBB9D0>,are calcified lesions present in the lung fields?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x18365FBBB10>,is there evidence of large calcified lesions in the lung fields?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FBBC50>,what is the organ system visualized?,gastrointestinal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FBBD90>,is the air under the left hemidiaphragm pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FBBED0>,is there free air under the left diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE4050>,is this image of the thorax?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x18365FE4190>,where is the lesion?,right lower lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x18365FE42D0>,which lung lobe is the lesion present in?,right lower lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365FE4410>,where is the aneurysm located?,in the thorasic aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365FE4550>,what is the most important abnormality found in this image?,width of aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x18365FE4690>,is the size of the spleen normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FE47D0>,at which rib is the lesion located?,7th rib
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FE4910>,what rib is the lesion located inferior to?,7th rib
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x18365FE4A50>,on which side is the cardiac border more obscured?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x18365FE4B90>,where is the cardiac border more obscured?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x18365FE4CD0>,what organ system is primarily present in this image?,gastrointestinal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FE4E10>,which side of the cardiac border is more prominent?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x18365FE4F50>,which cardiac border is more prominently visualized?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE5090>,is this image a ct scan?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FE51D0>,is there evidence of hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FE5310>,is there blood present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x18365FE5450>,are there air fluid levels present in the small bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x18365FE5590>,which lung has more extensive infiltration?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x18365FE56D0>,where are the most infiltrates located?,left lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x18365FE5810>,how would you describe the duodenum?,edematous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x18365FE5950>,is the duodenum edematous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE5A90>,is the largest air collection on the patient's left or the right side?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE5BD0>,where is the largest air collection in this image?,right lung base
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x18365FE5D10>,what is the location of the primary lesion?,right lung hilum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x18365FE5E50>,is the air under the left hemidiaphragm pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x18365FE5F90>,is subdiaphragmatic air present on the left side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FE60D0>,which side is the lateral ventricle visible on?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x18365FE6210>,is there contrast material showing air-fluid levels in the small bowel,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x18365FE6350>,where is the lateral ventricle?,left hemisphere
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FE6490>,where is the lesion located?,right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18365FE65D0>,which liver lobe is the lesion in?,right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x18365FE6710>,is there an intussusception present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x18365FE6850>,is there evidence of intussusception on the right side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365FE6990>,is there a mass in the right hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x18365FE6AD0>,is there evidence of a mass lesion at the right hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FE6C10>,is there a fracture on the left 5th rib?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FE6D50>,is the left fifth rib broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE6E90>,is subcutaneous air present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x18365FE6FD0>,is/are the mass located near/in the mid brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x18365FE7110>,is there evidence of subcutaneous air collection?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365FE7250>,are any ribs in the image fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365FE7390>,are there any fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FE74D0>,is the opacity near the left lung apex pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FE7610>,what is the opacity near the left lung apex?,pacemaker
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x18365FE7750>,how was this image taken?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FE7890>,where is the lesion?,in the right hilum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x18365FE79D0>,which lobe is the lesion located in?,upper right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FE7B10>,is there any inappropriate air collection in subcutaneous tissue?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x18365FE7C50>,is subcutaneous air present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x18365FE7D90>,is the mass compressing the mid brain on this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x18365FE7ED0>,where on the image is most obscured?,right lung base
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1836601C050>,is the costophrenic angle blunted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1836601C190>,what are the opacities to the left?,contrast in the intestines
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x1836601C2D0>,is there any hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836601C410>,what are those densities in the wall of the aorta?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836601C550>,what is the radiological description of the color of the edema?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1836601C690>,is the cerebellum visible?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1836601C7D0>,is this an axial image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836601C910>,is the liver normal in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1836601CA50>,is this film properly exposed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1836601CB90>,is the mass pushing on the midbrain structures?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1836601CCD0>,is it possible to see the cerebellum in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x1836601CE10>,is the heart dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1836601CF50>,in which lobe is the nodule located?,left upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1836601D090>,is the patient's kidney this large mass to the right?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1836601D1D0>,are these small opacities in the right lung calcifications?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1836601D310>,is there any shifting on the path of the trachea?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1836601D450>,is there swelling of the choroid fissure?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1836601D590>,is this a mri image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x1836601D6D0>,is there swelling around the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1836601D810>,what is the organ principally shown in this image?,lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1836601D950>,are brain structures shifted across the midline?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1836601DA90>,are the basal ganglia enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1836601DBD0>,is there any other alteration in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1836601DD10>,what are those lines in the posterior brain?,imaging artifacts
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1836601DE50>,is the medulla swollen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1836601DF90>,what are these densities inside the intestines?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1836601E0D0>,what is the name of this image's plane?,posteroanterior
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1836601E210>,is the lesion infiltrating?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1836601E350>,is the abdomen distended?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1836601E490>,is there leakage of contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1836601E5D0>,in which lobe is the enhancement?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1836601E710>,is there a midline shift of the cerebral parenchyma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1836601E850>,is this a solitary nodule?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1836601E990>,is there ascites?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1836601EAD0>,is there any hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1836601EC10>,is the right lung normal in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1836601ED50>,is there a cyst in the right kidney?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1836601EE90>,what is the plane of this image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1836601EFD0>,is there involvement of the temporal lobes?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1836601F110>,are the brain ventricles visible?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836601F250>,is there fluid in the anterior abdominal wall?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1836601F390>,are the lateral ventricles compressed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1836601F4D0>,is the gallbladder large in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1836601F610>,is this a cyst in the left lung?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1836601F750>,what is happening with the path of the trachea?,it is shifted to the right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1836601F890>,is the stomach dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1836601F9D0>,where are the enlarged feeding arteries located?,occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1836601FB10>,is the right kidney at its normal height in the abdomen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1836601FC50>,is this an infiltrating mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1836601FD90>,is the renal mass distending the abdominal wall?,a bit
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1836601FED0>,is it contrast these hyperintensities in the intestines?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18366048050>,what is the hypodensity in the posterior left?,the posterior horn of the left lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18366048190>,what is this mass to the left of the patient?,the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x183660482D0>,is this a mri of the chest?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x18366048410>,is the gallbladder distended?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x18366048550>,is there lesion to other structures besides the medulla?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x18366048690>,what are these hyperintensities to the right?,infarcted areas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x183660487D0>,are there any other cysts in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x18366048910>,is there any lesion in the left kidney,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x18366048A50>,are there multiple masses or just a single big one?,just one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x18366048B90>,are the kidneys atrophied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18366048CD0>,what are these hypodensities in the liver?,fat accumulations
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=360x437 at 0x18366048E10>,in which lobe is the cyst?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x18366048F50>,is it possible to see the cerebellum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x18366049090>,is this a ct image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x183660491D0>,are there >8 ribs shown in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x18366049310>,how do we call these wide undulations along the vertebral column?,scoliosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x18366049450>,to which side is the trachea deviated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x18366049590>,is the left kidney affected?,no
